                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    108,                 2.1604,                 3.3546,                 2.2607,                0.56376,                0.15228,                0.17767,                0.08999,                 2.0414,                 2.8077,                 2.3026,              0.0098951,              0.0098951,              0.0098951
                    109,                 2.0704,                 3.2951,                 2.2428,                 0.4362,                0.16682,                0.18422,                0.09182,                 2.0981,                 2.8654,                 2.3321,              0.0098941,              0.0098941,              0.0098941
                    110,                 2.1409,                 3.3699,                 2.2479,                0.40712,                0.18209,                0.17216,                0.08921,                 2.0858,                 2.8035,                 2.2982,              0.0098931,              0.0098931,              0.0098931
                    111,                 2.1129,                 3.4146,                 2.2228,                0.51559,                0.15808,                0.17974,                0.09308,                   2.08,                 2.8987,                 2.3059,              0.0098921,              0.0098921,              0.0098921
                    112,                 2.0995,                 3.2691,                 2.2332,                0.50223,                0.16717,                0.18964,                0.09278,                 2.0802,                 2.8783,                 2.3088,              0.0098911,              0.0098911,              0.0098911
                    113,                 2.0663,                 3.2458,                 2.2288,                0.67312,                0.13854,                0.18105,                 0.0986,                 2.0374,                 2.8551,                 2.2669,              0.0098901,              0.0098901,              0.0098901
                    114,                 2.1062,                 3.2803,                 2.2673,                0.63387,                0.18179,                0.20073,                0.11074,                 2.0018,                 2.8006,                 2.2504,              0.0098891,              0.0098891,              0.0098891
                    115,                 2.1169,                 3.3668,                 2.2199,                 0.5304,                0.22738,                0.20347,                0.10925,                 1.9903,                 2.7397,                 2.2358,              0.0098881,              0.0098881,              0.0098881
                    116,                 2.0378,                 3.2513,                 2.1889,                0.56087,                0.16685,                0.18823,                0.10144,                 2.0216,                 2.7866,                 2.2617,              0.0098871,              0.0098871,              0.0098871
                    117,                 2.0949,                   3.21,                  2.185,                 0.5531,                0.20542,                0.19885,                 0.1043,                 2.0037,                 2.7797,                 2.2469,              0.0098861,              0.0098861,              0.0098861
                    118,                 2.0162,                 3.1964,                 2.1913,                0.49822,                0.21258,                0.20081,                0.10958,                 2.0077,                 2.8135,                 2.2614,              0.0098852,              0.0098852,              0.0098852
                    119,                  2.113,                 3.2089,                 2.2391,                0.53325,                0.20291,                0.22071,                0.12089,                 2.0092,                 2.6939,                 2.2322,              0.0098842,              0.0098842,              0.0098842
                    120,                 2.0362,                 3.2473,                  2.159,                0.56144,                0.21202,                0.21412,                0.12135,                 1.9785,                 2.6287,                 2.2149,              0.0098832,              0.0098832,              0.0098832
                    121,                 2.0122,                 3.1981,                 2.1707,                0.56537,                 0.2163,                0.21965,                0.12104,                 2.0009,                 2.6772,                 2.2303,              0.0098822,              0.0098822,              0.0098822
                    122,                 2.0731,                 3.1136,                 2.1818,                0.62145,                0.16523,                0.21275,                0.11754,                 1.9879,                 2.7666,                 2.2273,              0.0098812,              0.0098812,              0.0098812
                    123,                 2.0645,                 3.0862,                 2.1643,                 0.5714,                0.19714,                 0.2147,                0.11951,                 1.9806,                 2.6622,                 2.2134,              0.0098802,              0.0098802,              0.0098802
                    124,                 2.0229,                 3.2785,                 2.1644,                0.55956,                0.18991,                 0.2191,                0.11247,                  1.989,                 2.5977,                 2.2034,              0.0098792,              0.0098792,              0.0098792
                    125,                 2.0248,                 3.1079,                 2.1711,                0.51203,                0.21249,                0.22359,                0.11844,                 1.9541,                 2.6142,                 2.1979,              0.0098782,              0.0098782,              0.0098782
                    126,                 2.0331,                 3.1757,                 2.1277,                0.47289,                 0.2085,                0.21021,                0.11149,                 1.9681,                 2.6811,                 2.2038,              0.0098772,              0.0098772,              0.0098772
                    127,                 2.0593,                 3.1979,                  2.153,                0.49112,                0.23113,                0.23151,                0.12073,                 1.9733,                 2.6605,                 2.2062,              0.0098763,              0.0098763,              0.0098763
                    128,                 2.0382,                  3.177,                 2.1866,                0.53796,                0.19518,                0.21287,                0.11725,                 1.9639,                 2.7082,                 2.2338,              0.0098753,              0.0098753,              0.0098753
                    129,                 1.9833,                 3.1275,                 2.1417,                0.62458,                0.21482,                 0.2543,                0.13983,                 1.9497,                 2.6058,                 2.1916,              0.0098743,              0.0098743,              0.0098743
                    130,                 2.0114,                 3.0417,                 2.1676,                0.62076,                0.22384,                0.26422,                0.15038,                 1.9597,                 2.5867,                  2.185,              0.0098733,              0.0098733,              0.0098733
                    131,                 2.0183,                  3.108,                 2.1404,                0.55653,                0.22548,                0.22989,                0.13205,                 1.9274,                 2.7337,                 2.1969,              0.0098723,              0.0098723,              0.0098723
                    132,                 1.9616,                 3.1402,                 2.1209,                0.54342,                0.20955,                 0.2065,                0.11301,                 1.9747,                 2.7153,                 2.2069,              0.0098713,              0.0098713,              0.0098713
                    133,                 2.0043,                 3.1012,                 2.1652,                 0.5691,                0.20327,                 0.2159,                0.12163,                  1.966,                 2.6673,                 2.2151,              0.0098703,              0.0098703,              0.0098703
